"","county","income","population","price","ratio"
"13","Lassen",40.355,"30,969",159.45,3.95118324866807
"5","Del Norte",31.817,"27,119",205,6.44309645786844
"40","Siskiyou",30.307,"44,500",205,6.76411390107896
"8","Glenn",31.968,"28,960",227.5,7.11649149149149
"45","Tehama",30.321,"63,970",228,7.51954091223904
"39","Shasta",33.381,"178,777",255,7.63907612114676
"26","Plumas",34.59,"19,586",265,7.66117374963862
"10","Kern",30.942,"883,327",241,7.78876607846939
"11","Kings",30.806,"149,702",239.95,7.78906706485749
"50","Yuba",32.059,"75,579",257.5,8.03206587853645
"47","Tuolumne",35.305,"54,525",291.4,8.25378841523863
"4","Calaveras",38.936,"44,899",328,8.4240805424286
"46","Tulare",27.811,"463,291",240,8.62967890403078
"17","Mariposa",34.208,"18,088",299,8.74064546304958
"44","Sutter",32.792,"97,618",290,8.84362039521834
"7","Fresno",29.843,"979,357",267,8.94682170023121
"30","San Bernardino",32.194,"2,129,851",300,9.31850655401628
"43","Stanislaus",33.465,"538,372",315,9.41281936351412
"25","Placer",50.396,"370,738",475,9.42535121835066
"6","El Dorado",48.826,"183,140",465,9.52361446770163
"12","Lake",29.955,"65,180",288,9.61442163244867
"19","Merced",29.113,"269,729",280,9.61769656167348
"28","Sacramento",38.606,"1,489,952",372,9.63580790550692
"15","Madera",28.85,"154,956",282.5,9.79202772963605
"3","Butte",32.261,"224,363",320,9.91909736214004
"9","Humboldt",31.546,"135,090",315,9.98541811957142
"33","San Joaquin",34.684,"727,547",360,10.3794256717795
"41","Solano",42.983,"429,267",451.5,10.5041528045972
"23","Nevada",38.874,"98,190",445,11.4472398003807
"49","Yolo",40.571,"212,686",470,11.5846294150995
"27","Riverside",33.375,"2,329,256",405.95,12.1632958801498
"18","Mendocino",31.583,"88,429",433.5,13.725738530222
"29","San Benito",39.663,"57,584",562,14.1693770012354
"42","Sonoma",42.963,"501,182",654.5,15.234038591346
"22","Napa",44.878,"141,546",685,15.2636035473952
"34","San Luis Obispo",41.851,"276,844",639,15.2684523667296
"31","San Diego",39.515,"3,275,084",640,16.1963811210933
"48","Ventura",39.799,"852,013",673.75,16.9288173069675
"1","Alameda",50.031,"1,619,679",900,17.9888469149128
"36","Santa Barbara",36.985,"444,900",677.5,18.318237123158
"20","Mono",33.567,"13,818",622.5,18.5449995531325
"21","Monterey",33.557,"436,242",624.004,18.5953452334833
"14","Los Angeles",33.369,"10,185,487",634.68,19.0200485480536
"24","Orange",40.243,"3,161,218",825,20.5004597072783
"37","Santa Clara",57.281,"1,915,102",1250,21.8222447233812
"16","Marin",63.11,"262,105",1395,22.1042623989859
"38","Santa Cruz",38.989,"274,697",910.5,23.352740516556
"32","San Francisco",56.722,"863,108",1507.5,26.5769895278728
"35","San Mateo",59.192,"764,379",1600,27.0306798215975
"2","Amador",39.09,"37,314",NA,NA
