weight, item, description
0.4, spoon, big grey plastic
3.5, bowl, stainless steel msr
4.25, multitool, leatherman red juice c2 with wine opener
4.15, plate, stainless steel msr
10.25, poncho, blue golite
24.5, poncho, camo GI
2.85, pot, titanium snow peak 600ml
8.2, canteen cup, stainless GI
0.9, plastic mug, Ziploc 16oz
1.35, canteen cup cover, black homemade
4.25, canteen cover, USGI green nylon alice 1 quart
5.75, canteen cover, USGI desert molle 1 quart
6.05, canteen cover, USGI desert 2 quart without strap
9.5, canteen cover, USGI desert 2 quart with strap
5.8, canteen, USGI green 1 quart
4.75, canteen, Nalgene green 1 quart
7.5, canteen, USGI green 2 quart
4.2, 1L bottle, classic Nalgene old plastic
2.2, 1L bottle carrier, Homemade black nylon with strap
0.70, foam pot cozy, green army pt mat material
0.80, pot lid, homemade from chicken can
8.8, dromedary bag, 10L MSR standard Outward Bound issue
1.3, water bottle, Platypus 2L collapsible
0.90, 4oz container, Nalgene clear
0.2, cat stove, homemade from 3oz fancy feast
0.4, 1oz container, Nalgene clear
0.35, lighter, mini Bic 
0.85, wine container, Platypus 0.75 liter
1.6, salt and pepper shaker, dual purpose GSI (full)
1.05, notebook, 48 page orange Field Notes
1.4, alice clips, 2 steel
9.25, foam sleeping mat, old short grey Ridge Rest
1.65, drybag, green zip sealline sized for smartphone
1.05, handkerchief, cotton
23.55, canister fuel, 16 oz brand new jetboil
0.8, knife, small swiss army with tweezers and toothpick
4.2, multitool, red Leatherman Juice C2 with wine bottle opener
3.25, map, large and durable from wilderness press
0.03, water tablets, MSR Aquatabs treatment for 20 L
1, 0.85 oz toothpaste travel tube, Crest
1.8, foam mat, 20in x 24in grey about 0.5 inch thick 
0.3, stuff sack, small black silnylon Montbell
0.4, stuff sack, small yellow nylon Feathered Friends
0.9, stuff sack, medium black nylon Mountain Hardwear
0.65, stuff sack, larger black silnylon
15.6, Sierra North guidebook, 298 page
12.3, 2L aluminum pot, REI nonstick green handles
5.35, 2L aluminum pot lid, REI green
2.1, aluminum windscreen, included with MSR stove
6.9, stove, all by itself msr windpro canister
0.6, stove base, aluminum msr 
11.95, complete msr windpro stove kit, includes tool stuffsack and two lighters
29.65, msr stove with 2L aluminum pot,
20.6, sleeping bag, 40 deg Mountain Hardware down 
2, boonie cap, plaid OR
27.6, down jacket, black Mountain Hardwear size med
20.9, down blanket, blue Western Mountaineering twin size comforter
22.35, synthetic blanket, brown Kifaru Woobie with stuff sack
8.8, down jacket, green Feathered Friends size med
24.6, down quilt, 20 deg green Enlighted Equipment 750 fill power duck down
0.55, straps, for down quilt
11.45, notebook, black mead composition style 100 pg
1.6, emergency blanket, silver marathon runner style
3.3, 550 cord, 50 feet used for bear hang
35.45, sleeping mat, green self inflating thermarest trail reg 1.5 inch thick
0.35, salsa container, 16oz from Mi Pueblo
6.8, trekking pole, single carbon fiber REI Peak UL by Komperdell
0.8, beanie, brown Patagonia fleece
1.15, beanie, black fleece Cabelas like GI
1.4, beanie, coyote fleece Condor
3.75, gloves, black softshell OR size xlarge
2.4, gloves, desert color military style
0.95, socks, thin polyester nylon REI
2.45, socks, puffy brown wool for sleeping
3.35, socks, heavy red Smartwool
2.9, hat, white OR mountain style with neckguard
2.55, hat, black cotton baseball GoRuck
